            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2412399.833333333, A.D. 1892-Oct-28 08:00:00.0000, -3.138372139593413E+01,  1.461310660537230E+01, -2.139887779080284E+01, -1.396801401493561E-03,  9.512347944081023E-04, -4.260990934449395E-04,  2.350567011279849E-01,  4.069880617442364E+01,  1.642686117824343E-03,
2412441.500000000, A.D. 1892-Dec-09 00:00:00.0000, -3.144180184809805E+01,  1.465268567097571E+01, -2.141655038666854E+01, -1.391063347413677E-03,  9.485613923824673E-04, -4.221882536022049E-04,  2.354511538326475E-01,  4.076710354307981E+01,  1.635591451455618E-03,
2412483.166666667, A.D. 1893-Jan-19 16:00:00.0000, -3.149964359413329E+01,  1.469215347418827E+01, -2.143406037298678E+01, -1.385343479253896E-03,  9.458941908299272E-04, -4.182938094448376E-04,  2.358439020180469E-01,  4.083510578337427E+01,  1.628519920874879E-03,
2412524.833333333, A.D. 1893-Mar-02 08:00:00.0000, -3.155724738829119E+01,  1.473151027226375E+01, -2.145140842970735E+01, -1.379641629538087E-03,  9.432331370497877E-04, -4.144156074686735E-04,  2.362349512261284E-01,  4.090281385486509E+01,  1.621471313658151E-03,
2412566.500000000, A.D. 1893-Apr-13 00:00:00.0000, -3.161461397788239E+01,  1.477075632026811E+01, -2.146859523041899E+01, -1.373957632587729E-03,  9.405781787335578E-04, -4.105534958558201E-04,  2.366243069479823E-01,  4.097022870830509E+01,  1.614445419583786E-03,
2412608.166666667, A.D. 1893-May-24 16:00:00.0000, -3.167174410335100E+01,  1.480989187109679E+01, -2.148562144241954E+01, -1.368291324472696E-03,  9.379292640036709E-04, -4.067073244358274E-04,  2.370119746243729E-01,  4.103735128573341E+01,  1.607442030591931E-03,
2412649.833333333, A.D. 1893-Jul-05 08:00:00.0000, -3.172863849834602E+01,  1.484891717549093E+01, -2.150248772678173E+01, -1.362642542963478E-03,  9.352863413047926E-04, -4.028769445720589E-04,  2.373979596462406E-01,  4.110418252056247E+01,  1.600460940652755E-03,
2412691.500000000, A.D. 1893-Aug-16 00:00:00.0000, -3.178529788979384E+01,  1.488783248204911E+01, -2.151919473841831E+01, -1.357011127616349E-03,  9.326493593572346E-04, -3.990622092425418E-04,  2.377822673551984E-01,  4.117072333766386E+01,  1.593501945861318E-03,
2412733.166666667, A.D. 1893-Sep-26 16:00:00.0000, -3.184172299797254E+01,  1.492663803723995E+01, -2.153574312615043E+01, -1.351396919738588E-03,  9.300182672060901E-04, -3.952629730550710E-04,  2.381649030440487E-01,  4.123697465345787E+01,  1.586564844439728E-03,
2412774.833333333, A.D. 1893-Nov-07 08:00:00.0000, -3.189791453658363E+01,  1.496533408541512E+01, -2.155213353277357E+01, -1.345799762352020E-03,  9.273930141792876E-04, -3.914790921693199E-04,  2.385458719572826E-01,  4.130293737600007E+01,  1.579649436656437E-03,
2412816.500000000, A.D. 1893-Dec-19 00:00:00.0000, -3.195387321282374E+01,  1.500392086882007E+01, -2.156836659512266E+01, -1.340219500196800E-03,  9.247735498556048E-04, -3.877104243184664E-04,  2.389251792915741E-01,  4.136861240506663E+01,  1.572755524832072E-03,
2412858.166666667, A.D. 1894-Jan-29 16:00:00.0000, -3.200959972745580E+01,  1.504239862760463E+01, -2.158444294413686E+01, -1.334655979716466E-03,  9.221598240478002E-04, -3.839568287664734E-04,  2.393028301962696E-01,  4.143400063223922E+01,  1.565882913302536E-03,
2412899.833333333, A.D. 1894-Mar-12 08:00:00.0000, -3.206509477488102E+01,  1.508076759983087E+01, -2.160036320492396E+01, -1.329109049119729E-03,  9.195517867391172E-04, -3.802181663651199E-04,  2.396788297738757E-01,  4.149910294098949E+01,  1.559031408476322E-03,
2412941.500000000, A.D. 1894-Apr-23 00:00:00.0000, -3.212035904321291E+01,  1.511902802148208E+01, -2.161612799682839E+01, -1.323578558371710E-03,  9.169493881773628E-04, -3.764942996117493E-04,  2.400531830805703E-01,  4.156392020676752E+01,  1.552200818894632E-03,
2412983.166666667, A.D. 1894-Jun-03 16:00:00.0000, -3.217539321434870E+01,  1.515718012647354E+01, -2.163173793349750E+01, -1.318064359123623E-03,  9.143525788270114E-04, -3.727850925369919E-04,  2.404258951267005E-01,  4.162845329708799E+01,  1.545390955103842E-03,
2413024.833333333, A.D. 1894-Jul-15 08:00:00.0000, -3.223019796404024E+01,  1.519522414665969E+01, -2.164719362294588E+01, -1.312566304761263E-03,  9.117613093092555E-04, -3.690904107561927E-04,  2.407969708772655E-01,  4.169270307161388E+01,  1.538601629700454E-03,
2413066.500000000, A.D. 1894-Aug-26 00:00:00.0000, -3.228477396196736E+01,  1.523316031184181E+01, -2.166249566762305E+01, -1.307084250433221E-03,  9.091755304588583E-04, -3.654101215304936E-04,  2.411664152524233E-01,  4.175667038224415E+01,  1.531832657407632E-03,
2413108.166666667, A.D. 1894-Oct-06 16:00:00.0000, -3.233912187181037E+01,  1.527098884977715E+01, -2.167764466448164E+01, -1.301618053019025E-03,  9.065951933239338E-04, -3.617440937519891E-04,  2.415342331279970E-01,  4.182035607320138E+01,  1.525083855045004E-03,
2413149.833333333, A.D. 1894-Nov-17 08:00:00.0000, -3.239324235132311E+01,  1.530870998618834E+01, -2.169264120504624E+01, -1.296167571161515E-03,  9.040202492046879E-04, -3.580921979840679E-04,  2.419004293359879E-01,  4.188376098112067E+01,  1.518355041590878E-03,
2413191.500000000, A.D. 1894-Dec-29 00:00:00.0000, -3.244713605240464E+01,  1.534632394477417E+01, -2.170748587548221E+01, -1.290732665184341E-03,  9.014506496492992E-04, -3.544543064058622E-04,  2.422650086650853E-01,  4.194688593513785E+01,  1.511646038090221E-03,
2413233.166666667, A.D. 1895-Feb-08 16:00:00.0000, -3.250080362117022E+01,  1.538383094721884E+01, -2.172217925666269E+01, -1.285313197152601E-03,  8.988863464026536E-04, -3.508302928371334E-04,  2.426279758611650E-01,  4.200973175697586E+01,  1.504956667697695E-03,
2413274.833333333, A.D. 1895-Mar-22 08:00:00.0000, -3.255424569802464E+01,  1.542123121320125E+01, -2.173672192423983E+01, -1.279909030894468E-03,  8.963272914967406E-04, -3.472200328513849E-04,  2.429893356278115E-01,  4.207229926103512E+01,  1.498286755787776E-03,
2413316.500000000, A.D. 1895-May-03 00:00:00.0000, -3.260746291773405E+01,  1.545852496040897E+01, -2.175111444871678E+01, -1.274520031920316E-03,  8.937734373081895E-04, -3.436234037078664E-04,  2.433490926268463E-01,  4.213458925448501E+01,  1.491636129879859E-03,
2413358.166666667, A.D. 1895-Jun-13 16:00:00.0000, -3.266045590949596E+01,  1.549571240455185E+01, -2.176535739551713E+01, -1.269146067417305E-03,  8.912247365288333E-04, -3.400402843399204E-04,  2.437072514788401E-01,  4.219660253735250E+01,  1.485004619619064E-03,
2413399.833333333, A.D. 1895-Jul-25 08:00:00.0000, -3.271322529700885E+01,  1.553279375937606E+01, -2.177945132505559E+01, -1.263787006249218E-03,  8.886811422191879E-04, -3.364705553821752E-04,  2.440638167636275E-01,  4.225833990261138E+01,  1.478392056811494E-03,
2413441.500000000, A.D. 1895-Sep-05 00:00:00.0000, -3.276577169854146E+01,  1.556976923667950E+01, -2.179339679280836E+01, -1.258442718919513E-03,  8.861426078027047E-04, -3.329140991587028E-04,  2.444187930208233E-01,  4.231980213627163E+01,  1.471798275389087E-03,
2413483.166666667, A.D. 1895-Oct-16 16:00:00.0000, -3.281809572700143E+01,  1.560663904632841E+01, -2.180719434938473E+01, -1.253113077589085E-03,  8.836090871584205E-04, -3.293707997364494E-04,  2.447721847503434E-01,  4.238099001746950E+01,  1.465223111486577E-03,
2413524.833333333, A.D. 1895-Nov-27 08:00:00.0000, -3.287019799000235E+01,  1.564340339627808E+01, -2.182084454059864E+01, -1.247797955960375E-03,  8.810805346774696E-04, -3.258405428480665E-04,  2.451239964129253E-01,  4.244190431855777E+01,  1.458666403334502E-03,
2413566.500000000, A.D. 1896-Jan-08 00:00:00.0000, -3.292207908992689E+01,  1.568006249259330E+01, -2.183434790753607E+01, -1.242497229256451E-03,  8.785569052200705E-04, -3.223232158249814E-04,  2.454742324306211E-01,  4.250254580519098E+01,  1.452127991194506E-03,
2413608.166666667, A.D. 1896-Feb-18 16:00:00.0000, -3.297373962399090E+01,  1.571661653946821E+01, -2.184770498662306E+01, -1.237210774239247E-03,  8.760381541525102E-04, -3.188187076638127E-04,  2.458228971872934E-01,  4.256291523641147E+01,  1.445607717422944E-03,
2413649.833333333, A.D. 1896-Mar-31 08:00:00.0000, -3.302518018430600E+01,  1.575306573924946E+01, -2.186091630969441E+01, -1.231938469129856E-03,  8.735242374325775E-04, -3.153269089723468E-04,  2.461699950291163E-01,  4.262301336473590E+01,  1.439105426414608E-03,
2413691.500000000, A.D. 1896-May-12 00:00:00.0000, -3.307640135793918E+01,  1.578941029246071E+01, -2.187398240405952E+01, -1.226680193560273E-03,  8.710151116001663E-04, -3.118477119220533E-04,  2.465155302650557E-01,  4.268284093623865E+01,  1.432620964539301E-03,
2413733.166666667, A.D. 1896-Jun-22 16:00:00.0000, -3.312740372697019E+01,  1.582565039782788E+01, -2.188690379256671E+01, -1.221435828493641E-03,  8.685107338308819E-04, -3.083810101908397E-04,  2.468595071673391E-01,  4.274239869063292E+01,  1.426154180072351E-03,
2413774.833333333, A.D. 1896-Aug-03 08:00:00.0000, -3.317818786854579E+01,  1.586178625230514E+01, -2.189968099366387E+01, -1.216205256184325E-03,  8.660110618953984E-04, -3.049266988766931E-04,  2.472019299719005E-01,  4.280168736134801E+01,  1.419704923106326E-03,
2413816.500000000, A.D. 1896-Sep-14 00:00:00.0000, -3.322875435493354E+01,  1.589781805109974E+01, -2.191231452145815E+01, -1.210988360174138E-03,  8.635160541872025E-04, -3.014846745315876E-04,  2.475428028788209E-01,  4.286070767560533E+01,  1.413273045577683E-03,
2413858.166666667, A.D. 1896-Oct-25 16:00:00.0000, -3.327910375357435E+01,  1.593374598769979E+01, -2.192480488577555E+01, -1.205785025211797E-03,  8.610256697914570E-04, -2.980548350786077E-04,  2.478821300527669E-01,  4.291946035449459E+01,  1.406858401189405E-03,
2413899.833333333, A.D. 1896-Dec-06 08:00:00.0000, -3.332923662712975E+01,  1.596957025390195E+01, -2.193715259221490E+01, -1.200595137143316E-03,  8.585398684249908E-04, -2.946370796820332E-04,  2.482199156233918E-01,  4.297794611304312E+01,  1.400460845239472E-03,
2413941.500000000, A.D. 1897-Jan-17 00:00:00.0000, -3.337915353352815E+01,  1.600529103983713E+01, -2.194935814219914E+01, -1.195418582925314E-03,  8.560586104175826E-04, -2.912313087303739E-04,  2.485561636857196E-01,  4.303616566028228E+01,  1.394080234617711E-03,
2413983.166666667, A.D. 1897-Feb-27 16:00:00.0000, -3.342885502600966E+01,  1.604090853399620E+01, -2.196142203302514E+01, -1.190255250550666E-03,  8.535818567121793E-04, -2.878374237705366E-04,  2.488908783005176E-01,  4.309411969931218E+01,  1.387716427716743E-03,
2414024.833333333, A.D. 1897-Apr-10 08:00:00.0000, -3.347834165316915E+01,  1.607642292325510E+01, -2.197334475791088E+01, -1.185105029057289E-03,  8.511095688498548E-04, -2.844553274683899E-04,  2.492240634946547E-01,  4.315180892736354E+01,  1.381369284415251E-03,
2414066.500000000, A.D. 1897-May-22 00:00:00.0000, -3.352761395899829E+01,  1.611183439289990E+01, -2.198512680604131E+01, -1.179967808431977E-03,  8.486417089773419E-04, -2.810849235483940E-04,  2.495557232614503E-01,  4.320923403585819E+01,  1.375038665977613E-03,
